Fe,Ti,Ca,Si,Al,Mg,Na,date,timestamp,lat,lon
1.05367,0.0117832,5.14654,17.6937,6.24957,19.993,4.8517,2019-09-14,2019-09-14 10:47:46,-21.050375000000003,-77.316175
1.09344,0.00922647,5.01262,19.1976,5.1241,19.7503,4.81275,2019-09-14,2019-09-14 12:44:10,-13.269,-78.54335
1.00571,0.0236453,5.02093,20.9232,7.81809,18.9688,1.23959,2019-09-14,2019-09-14 01:45:22,2.07655,107.25649999999999
4.46801,0.378,5.20394,12.6017,8.72126,18.6952,4.93191,2019-09-14,2019-09-14 01:05:14,-58.672399999999996,-70.659625
1.05796,0.000292864,5.00094,10.9543,13.1221,19.9223,4.94213,2019-09-14,2019-09-14 20:13:15,66.6606,-85.5863
1.12862,0.000466047,5.06152,19.1187,5.02449,19.7395,4.9267,2019-09-14,2019-09-14 12:05:46,78.59115,107.00375
5.55591,8.60543,5.07288,1.29144,9.65556,19.957,4.86183,2019-09-14,2019-09-14 10:46:10,-16.162325000000003,-77.405125
1.28348,0.0783321,5.01153,18.5425,5.20329,19.9714,4.90952,2019-09-14,2019-09-14 14:25:23,40.1237,-80.6636
1.3984,2.19648,10.0715,12.5896,5.56466,18.8849,4.29449,2019-09-14,2019-09-14 15:46:59,29.279375,100.136525
2.94145,2.24769,5.21983,14.695,5.07284,19.9941,4.82909,2019-09-14,2019-09-14 10:36:58,11.7508,-77.86305000000002
8.06807,0.0104702,5.36243,12.0185,5.05581,19.8486,4.63607,2019-09-14,2019-09-14 09:12:26,-85.83177500000001,87.9418
1.08413,0.00248083,6.61993,17.3332,5.20596,19.7556,4.99865,2019-09-14,2019-09-14 04:35:46,24.863974999999996,-74.829775
1.07441,0.0298666,5.22132,18.6839,5.13583,19.9827,4.87202,2019-09-14,2019-09-14 14:25:39,39.329449999999994,-80.640225
1.33528,0.620449,5.02266,17.9792,5.15896,19.9058,4.97764,2019-09-14,2019-09-14 17:20:35,-47.690575,97.4111
4.78717,2.98844,10.2836,10.9486,5.1447,16.8906,3.95688,2019-09-14,2019-09-14 03:44:34,2.8483,106.18100000000001
1.31894,15.1495,5.18497,3.21867,5.60956,19.6081,4.91031,2019-09-14,2019-09-14 10:21:38,57.57105000000001,-79.210925
3.16226,3.03583,5.01053,13.8194,5.0183,19.9969,4.95679,2019-09-14,2019-09-14 04:09:38,77.4531,110.75225
3.98448,4.11035,5.0932,12.0633,5.01389,19.8588,4.876,2019-09-14,2019-09-14 23:09:07,-73.4401,91.51372500000001
3.71725,5.32822,5.23872,11.5045,5.04972,19.3855,4.77605,2019-09-14,2019-09-14 01:29:22,-46.654275,106.24
1.23361,0.00346553,5.24475,23.2125,5.59594,19.2711,0.43871,2019-09-14,2019-09-14 08:09:54,84.42897500000001,115.0575
1.05717,0.0863361,5.64609,5.49292,18.3866,19.8059,4.52499,2019-09-14,2019-09-14 01:14:02,-85.793125,-57.631699999999995
19.7131,0.0250971,5.05865,0.562982,5.41592,19.9625,4.26174,2019-09-14,2019-09-14 23:57:07,71.92195,98.60515
1.12002,0.184285,5.14417,19.0973,5.48169,18.984,4.98855,2019-09-14,2019-09-14 01:05:54,-60.73315,-70.5155
3.14326,4.8154,6.28735,10.7433,5.03808,19.984,4.98858,2019-09-14,2019-09-14 05:25:14,-52.8942,103.78975
4.49113,1.93854,9.77844,19.4908,17.7692,1.26304,0.268766,2021-04-22,2021-04-22 20:21:25,-64.615175,-71.44170000000001
5.79462,1.42402,5.02404,15.0132,5.51644,18.1086,4.11905,2019-09-14,2019-09-14 10:24:50,48.07147500000001,-78.738725
1.45361,12.7511,5.45885,6.95575,5.46776,18.2779,4.635,2019-09-14,2019-09-14 01:49:38,14.911449999999999,107.46225
1.9726,0.354186,6.18356,17.678,8.26207,17.5141,3.03553,2019-09-14,2019-09-14 01:24:42,-61.021375,105.49225
1.05581,0.0250852,5.05953,15.8686,8.34434,19.6475,4.99915,2019-09-14,2019-09-14 10:51:30,-32.49125,-77.07577500000001
1.07046,0.000706673,5.11906,18.4541,5.91705,19.6869,4.75175,2019-09-14,2019-09-14 10:50:50,-30.444650000000003,-77.123075
4.22867,1.25242,15.3544,10.1914,14.3096,4.68413,4.97946,2019-09-14,2019-09-14 01:34:10,-31.940125,106.6585
1.39566,2.70379,5.04036,16.0342,5.19321,19.7158,4.91696,2019-09-14,2019-09-14 06:28:02,44.841449999999995,-76.43195
5.70135,6.13105,7.53962,9.65064,8.9704,16.7992,0.207737,2019-09-14,2019-09-14 23:44:59,35.976774999999996,95.96884999999999
1.0171,0.510501,10.602,14.4185,5.13629,19.8465,3.46916,2019-09-14,2019-09-14 13:35:22,-8.914950000000001,100.5445
1.02345,0.00601164,5.03341,12.177,11.9359,19.9863,4.83789,2019-09-14,2019-09-14 20:44:43,-27.757325,-82.606825
1.10328,1.36995,5.10821,16.8954,5.84171,19.9739,4.70753,2019-09-14,2019-09-14 10:24:18,49.656699999999994,-78.8035
1.02478,3.19532,6.24791,11.0291,11.0396,19.6906,2.77265,2019-09-14,2019-09-14 10:13:54,80.40185,-83.88567499999999
7.49556,4.83323,5.47481,3.21632,9.60702,19.7554,4.61772,2019-09-14,2019-09-14 10:38:26,7.3233999999999995,-77.7899
1.87595,0.585013,5.58261,17.0542,5.10122,19.9842,4.81678,2019-09-14,2019-09-14 11:40:34,3.601825,101.83875
2.79769,3.32164,17.1982,3.98966,11.0056,14.4027,2.2844,2019-09-14,2019-09-14 01:41:14,-10.422525,107.06025
19.6194,19.1687,5.32785,1.62175,5.60344,1.46988,2.18897,2019-09-14,2019-09-14 05:22:26,-61.526925,103.25649999999999
1.07047,0.0632203,5.48155,10.9879,12.6623,19.7439,4.99067,2019-09-14,2019-09-14 01:00:58,-45.50035000000001,-71.285125
11.8893,5.85343,5.07322,6.75738,5.00857,15.4306,4.98755,2019-09-14,2019-09-14 15:22:11,-46.009150000000005,98.58465
2.6709,9.37151,12.3689,4.43937,8.93084,15.106,2.11244,2019-09-14,2019-09-14 07:33:38,-23.894325000000002,103.55474999999998
4.74912,0.0839771,6.11739,15.5098,5.99404,18.426,4.1196,2019-09-14,2019-09-14 10:19:30,63.8889,-79.6992
1.01155,0.00238122,9.57088,14.254,5.29292,19.9614,4.90691,2019-09-14,2019-09-14 06:34:10,26.5092,-75.95285
18.6569,0.0599434,5.00057,1.45883,5.16711,19.6569,4.99976,2019-09-14,2019-09-14 02:05:22,61.743900000000004,109.0255
1.00513,17.9821,5.27071,0.434922,5.73534,19.6477,4.92412,2019-09-14,2019-09-14 10:43:38,-8.44285,-77.53597500000001
3.72025,2.52726,5.15138,8.04661,11.2964,19.3052,4.95286,2019-09-14,2019-09-14 10:47:06,-19.012425,-77.35435000000001
2.64781,0.0109873,5.03867,14.9361,9.47378,18.1009,4.79176,2019-09-14,2019-09-14 10:21:30,57.966274999999996,-79.23615000000001
1.00115,10.4264,11.4777,2.48707,5.64774,19.0887,4.87133,2019-09-14,2019-09-14 10:44:18,-10.471725000000001,-77.50255
1.54551,0.681191,5.01154,16.4993,6.75381,19.5089,4.99965,2019-09-14,2019-09-14 10:16:42,72.162125,-80.835875
1.15691,0.010592,5.05524,18.8903,5.00165,19.9895,4.89586,2019-09-14,2019-09-14 16:29:47,23.825274999999998,-81.366075
1.24481,0.01953,5.05886,25.0422,5.16796,13.5693,4.89735,2019-09-14,2019-09-14 01:08:58,-70.216125,-69.48362499999999
3.79338,0.793149,5.13849,13.1485,7.61941,19.5088,4.99825,2019-09-14,2019-09-14 07:24:26,-52.109249999999996,102.73275
1.06328,0.00496604,5.35758,19.5772,5.21531,19.022,4.75958,2019-09-14,2019-09-14 16:08:27,86.85945000000001,-102.2352
6.79328,0.773549,5.07958,10.054,7.41246,19.8986,4.98853,2019-09-14,2019-09-14 10:49:46,-27.173375,-77.194575
1.26027,0.0398585,5.28812,14.6183,9.12643,19.7124,4.95464,2019-09-14,2019-09-14 17:02:19,-75.60275,-76.7667
1.04399,0.0112866,6.39931,10.894,12.3788,19.2922,4.98043,2019-09-14,2019-09-14 04:14:42,87.2338,-97.963175
6.91401,2.85145,8.06261,9.65612,19.9861,3.37704,4.15269,2021-04-22,2021-04-22 20:22:21,-61.736275,-71.23095
1.00584,0.00108216,5.08719,12.6151,11.3204,19.9826,4.98783,2019-09-14,2019-09-14 16:56:59,-59.095724999999995,-79.238625
10.6015,10.9821,5.17705,12.5389,6.64353,4.91836,4.13855,2019-09-14,2019-09-14 01:25:38,-58.144025,105.69149999999999
1.14653,11.4015,6.5731,5.68659,5.22843,19.9795,4.98435,2019-09-14,2019-09-14 11:48:18,26.827325000000002,102.25224999999999
1.13238,0.00753689,5.00757,19.1393,5.00891,19.972,4.73232,2019-09-14,2019-09-14 22:48:59,-44.067775,-83.226575
9.27431,0.594872,8.34658,5.51156,8.79363,18.2504,4.22865,2019-09-14,2019-09-14 01:44:34,-0.33752499999999996,107.21924999999999
2.39413,0.363188,6.26432,13.6903,8.74124,19.4593,4.08758,2019-09-14,2019-09-14 10:41:46,-2.770775,-77.627925
17.5178,0.140521,5.534,0.585571,8.93899,17.365,4.91817,2019-09-14,2019-09-14 01:32:58,-35.611725,106.571
1.00667,0.139648,5.07318,18.9611,5.09924,19.9999,4.7203,2019-09-14,2019-09-14 10:15:38,75.307,-81.597625
5.0,1.0,9.0,21.0,14.0,5.0,0.5,2019-09-14,2019-09-14 01:05:30,-59.49657499999999,-70.604575
18.8616,0.0229767,5.82314,4.84534,5.76284,14.7424,4.94175,2019-09-14,2019-09-14 01:32:02,-38.4707,106.4965
1.08249,0.00439476,5.00483,18.65,5.33637,19.9833,4.93864,2019-09-14,2019-09-14 02:17:38,81.87797499999999,-80.604375
5.0,1.0,9.0,20.5,14.0,5.0,0.5,2021-04-22,2021-04-22 20:13:33,-88.48825,-108.29065000000001
19.5632,19.9786,5.15104,0.568088,5.15594,0.281838,4.30131,2019-09-14,2019-09-14 01:26:18,-56.0899,105.814
14.2664,0.0209892,5.03504,5.97861,5.00003,19.7105,4.98843,2019-09-14,2019-09-14 21:06:11,-85.6696,80.958
1.07048,0.0277966,5.42042,4.26039,19.5146,19.7223,4.98397,2019-09-14,2019-09-14 01:05:38,-59.9088,-70.5756
1.14753,17.8267,5.20474,1.24652,5.15963,19.569,4.84587,2019-09-14,2019-09-14 19:34:19,-2.438425,97.3721
1.47617,0.186431,8.44623,15.459,6.67717,18.7102,4.0448,2019-09-14,2019-09-14 10:33:06,23.382925,-78.07205
16.1896,3.38611,5.25903,1.72981,5.02536,18.4737,4.93633,2019-09-14,2019-09-14 04:04:02,60.926825,107.88325
5.333,1.39302,8.94837,19.6125,13.9989,5.21417,0.500013,2019-09-14,2019-09-14 01:33:38,-33.571349999999995,106.62049999999999
1.96414,1.94119,16.5355,10.9813,5.04346,13.6675,4.86697,2019-09-14,2019-09-14 05:31:38,-33.239799999999995,104.4455
1.01125,0.0445876,5.02164,7.81773,16.4257,19.9309,4.7482,2019-09-14,2019-09-14 00:21:22,73.991625,-75.71279999999999
1.31959,0.0354787,5.01103,18.4124,5.23707,19.9945,4.98996,2019-09-14,2019-09-14 05:02:42,-57.314575000000005,-72.903075
19.3855,11.6342,5.0561,1.21807,5.38633,7.63969,4.68006,2019-09-14,2019-09-14 13:18:10,-61.669925,98.83595
1.42508,0.00925651,5.14711,23.2444,5.18225,19.9919,8.30249e-05,2019-09-14,2019-09-14 11:10:18,-88.66142500000001,51.34637500000001
4.92626,1.01217,9.17034,18.7406,15.2179,5.41683,0.515924,2019-09-14,2019-09-14 19:33:47,-4.056625,97.3448
1.33062,0.0181535,5.48586,4.02774,19.9971,19.6337,4.50686,2019-09-14,2019-09-14 02:45:46,-2.1646,-73.28515
1.15515,0.0132661,5.07338,18.9884,5.1113,19.8378,4.82069,2019-09-14,2019-09-14 20:42:59,-22.455550000000002,-82.7212
1.02169,10.6659,6.08875,7.95513,5.10219,19.2639,4.90243,2019-09-14,2019-09-14 10:22:18,55.594300000000004,-79.09325
7.51343,0.192464,8.28619,2.175,12.8412,19.3464,4.64533,2019-09-14,2019-09-14 10:35:38,15.768425,-77.931975
1.16171,0.0385865,5.05737,18.5581,5.31053,19.9463,4.92735,2019-09-14,2019-09-14 21:00:59,-77.93885,-77.9267
1.1297,0.00171591,5.08845,17.1371,6.66971,19.9901,4.98327,2019-09-14,2019-09-14 09:03:06,-65.03725,-74.447125
1.01281,0.127452,8.23723,31.6324,7.58876,6.39726,0.00407436,2019-09-14,2019-09-14 03:56:02,37.193925,106.83675
5.0,1.0,9.0,20.5,14.0,5.0,0.5,2021-04-22,2021-04-22 20:17:17,-77.33135000000001,-73.48910000000001
1.1317,0.00575486,5.00016,17.4249,6.5211,19.9909,4.92545,2019-09-14,2019-09-14 14:45:07,-19.37565,-79.521175
16.7856,0.91403,5.62462,0.170181,14.8988,11.6396,4.96722,2019-09-14,2019-09-14 09:25:22,-45.98225,101.889
1.00153,0.903063,5.00375,19.6003,5.08434,18.6522,4.75479,2019-09-14,2019-09-14 22:32:27,6.339874999999999,-84.331425
1.00166,8.42483,5.01212,10.0069,5.63478,19.9999,4.91977,2019-09-14,2019-09-14 00:42:18,11.50845,-72.41302499999999
3.14801,2.05023,5.31124,9.70884,10.6265,19.8904,4.26477,2019-09-14,2019-09-14 01:16:10,-87.201025,84.62360000000001
3.43895,1.19802,5.14796,10.7283,10.266,19.2792,4.94162,2019-09-14,2019-09-14 10:34:26,19.378324999999997,-77.99654999999998
1.04258,0.00414578,5.05526,19.2403,5.07669,19.7699,4.81112,2019-09-14,2019-09-14 12:13:46,77.66555,-83.54554999999999
5.07949,0.105483,5.24946,13.8649,6.97662,18.7624,4.96165,2019-09-14,2019-09-14 10:14:42,78.05365,-82.58785
1.00657,0.0012846,5.02913,14.3221,9.93971,19.9838,4.71744,2019-09-14,2019-09-14 02:48:26,-10.276875,-73.155925
1.0713,0.00436557,5.20465,20.0389,5.00044,18.7125,4.96787,2019-09-14,2019-09-14 10:44:50,-12.0963,-77.47545
2.77189,0.144632,9.25271,15.2469,8.33644,16.4902,2.75723,2019-09-14,2019-09-14 10:11:46,86.5535,-96.28410000000001
1.7571,13.2687,11.8625,0.686605,5.03417,17.4144,4.97654,2019-09-14,2019-09-14 11:15:22,-73.590575,98.30037499999999
1.01457,0.0149893,5.02185,16.7841,7.19761,19.9743,4.99256,2019-09-14,2019-09-14 15:20:27,-51.354350000000004,98.36175
1.1271,0.00597761,5.89109,16.8742,6.8875,19.5382,4.67591,2019-09-14,2019-09-14 10:14:02,80.011075,-83.62755
1.0506,0.0196131,5.07937,18.6539,5.69415,19.6543,4.84813,2019-09-14,2019-09-14 10:14:18,79.22867500000001,-83.16629999999999
13.6707,4.81784,5.30756,1.08367,8.38228,17.4615,4.27641,2019-09-14,2019-09-14 07:45:14,11.241425,104.14
3.12282,0.62407,5.03357,9.66125,11.7448,19.8778,4.93567,2019-09-14,2019-09-14 10:33:22,22.5826,-78.05655000000002
4.74912,0.0839771,6.11739,15.5098,5.99404,18.426,4.1196,2019-09-14,2019-09-14 10:31:54,26.9815,-78.144825
13.4115,2.97485,8.76892,7.29457,5.01731,14.7303,2.80253,2019-09-14,2019-09-14 03:40:50,-8.437075,106.0035
1.5811,2.42086,5.3988,2.42195,19.2316,19.1229,4.82283,2019-09-14,2019-09-14 10:14:34,78.44555,-82.7676
1.09956,0.0409884,5.00812,18.4242,6.1742,19.595,4.65793,2019-09-14,2019-09-14 17:07:39,-87.4834,71.253875
1.14102,4.9304,14.2756,7.99541,5.79972,18.2241,2.63369,2019-09-14,2019-09-14 01:49:54,15.711400000000001,107.476
11.4655,10.9112,7.20819,2.2031,6.75536,11.5078,4.94881,2019-09-14,2019-09-14 13:50:18,35.9851,101.38324999999999
4.09379,0.0390344,9.25203,11.7897,5.3198,19.5275,4.97817,2019-09-14,2019-09-14 01:28:58,-47.883624999999995,106.19425
6.04438,10.916,5.03776,3.10198,5.03672,19.9404,4.92274,2019-09-14,2019-09-14 01:18:42,-79.532825,101.708775
1.01926,0.0377968,5.02282,16.964,7.2209,19.7502,4.985,2019-09-14,2019-09-14 16:20:19,52.02985,-82.220425
5.0,1.0,9.0,20.5,14.0,5.0,0.5,2021-04-22,2021-04-22 20:11:01,-83.330725,118.06925
13.4266,8.56834,5.36965,0.318458,7.69229,19.6203,0.00434526,2019-09-14,2019-09-14 10:42:02,-3.5802750000000003,-77.614825
11.2126,12.4002,5.40983,3.32527,6.37038,13.5928,2.68899,2019-09-14,2019-09-14 05:33:54,-26.310625,104.59725
1.19107,0.00252579,6.18516,14.8687,8.08051,19.7252,4.94681,2019-09-14,2019-09-14 10:16:34,72.555525,-80.916325
1.0079,0.0882027,5.27511,18.7126,5.23172,19.8489,4.83556,2019-09-14,2019-09-14 10:39:14,4.904825000000001,-77.750575
1.53335,12.2155,5.14409,6.20368,5.06292,19.9864,4.85409,2019-09-14,2019-09-14 20:18:19,51.687075,-84.42434999999999
4.9182,1.43437,8.96727,25.2946,8.74938,4.99891,0.63722,2019-09-14,2019-09-14 11:24:26,-45.597375,100.80550000000001
2.42731,0.264953,5.04618,19.983,5.0585,17.6394,4.58067,2019-09-14,2019-09-14 17:08:03,-86.34465,80.56209999999999
1.13666,0.0211203,5.00174,8.10939,15.8248,19.9321,4.9742,2019-09-14,2019-09-14 12:55:38,-48.447725,-77.66685
1.02237,11.7649,5.04717,6.91089,5.28396,19.9879,4.98274,2019-09-14,2019-09-14 13:51:07,38.433275,101.4495
1.00591,0.0107458,5.23017,14.5669,9.30496,19.9958,4.88545,2019-09-14,2019-09-14 06:51:54,-27.27955,-75.02035000000001
5.0,1.0,9.0,20.5,14.0,5.0,0.5,2021-04-22,2021-04-22 20:21:57,-62.970375000000004,-71.316025
8.39616,0.955433,19.7607,8.54186,8.43153,4.27038,4.64397,2019-09-14,2019-09-14 01:40:26,-12.8492,107.02074999999999
1.12835,0.0395018,5.04715,15.6808,9.59187,18.5203,4.99209,2019-09-14,2019-09-14 01:08:50,-69.8038,-69.54795
1.04272,0.0198743,5.21898,18.7141,5.02756,19.9786,4.99812,2019-09-14,2019-09-14 16:03:31,78.25685,104.7755
1.24543,0.790781,5.12217,12.9063,11.1416,18.8758,4.91792,2019-09-14,2019-09-14 01:11:54,-79.277625,-66.83295
1.07499,0.00689384,5.59478,17.7137,5.63967,19.972,4.99801,2019-09-14,2019-09-14 10:20:02,62.310575,-79.557525
1.04904,0.000384095,5.06845,14.0189,9.94273,19.9402,4.98029,2019-09-14,2019-09-14 12:15:30,72.56175,-82.0313
18.07,0.743958,5.16305,1.60822,5.20407,19.6143,4.59642,2019-09-14,2019-09-14 02:10:26,76.6987,111.53275000000001
1.56048,0.00600151,17.531,25.5309,5.47148,0.338513,4.56156,2019-09-14,2019-09-14 15:44:19,21.299925,99.969825
3.70361,2.62354,5.01842,6.72304,11.9324,19.9995,4.99944,2019-09-14,2019-09-14 21:56:59,68.41427499999999,99.05087499999999
1.16394,2.16793,5.32437,14.6072,6.96325,19.9985,4.7748,2019-09-14,2019-09-14 06:46:26,-10.5709,-75.3252
16.7059,0.15015,5.24496,7.43133,6.48489,14.3048,4.67801,2019-09-14,2019-09-14 01:33:30,-33.9793,106.611
1.48614,0.0803571,5.09333,6.4284,18.2233,18.7706,4.91789,2019-09-14,2019-09-14 10:10:34,88.69390000000001,-1.6754999999999995
19.9965,0.0820191,5.02937,6.43735,5.05677,13.8051,4.59284,2019-09-14,2019-09-14 01:30:26,-43.378299999999996,106.3515
1.17486,0.0625064,5.46871,8.6237,17.385,19.966,2.31927,2019-09-14,2019-09-14 10:21:54,56.78045,-79.1623
1.00285,0.0279545,5.07656,18.846,5.2184,19.968,4.86029,2019-09-14,2019-09-14 22:02:43,85.18665,110.27025
1.00683,0.0174785,5.14543,18.2485,5.62126,19.9719,4.98864,2019-09-14,2019-09-14 09:09:06,-83.563525,-67.102325
1.01422,0.482572,6.64617,14.8552,9.14866,18.1911,4.66201,2019-09-14,2019-09-14 00:10:02,72.41405,111.45025
1.08915,0.00894128,5.12319,20.0433,5.98397,18.0814,4.66997,2019-09-14,2019-09-14 10:13:14,82.3511,-85.5788
8.53828,5.55203,6.60727,0.645992,14.4707,19.084,0.101794,2019-09-14,2019-09-14 00:15:06,87.15559999999999,131.20600000000002
5.44047,4.21874,10.1899,6.27837,6.00813,18.0858,4.77857,2019-09-14,2019-09-14 19:29:31,-17.03865,97.1144
1.00255,0.038493,5.00417,4.29072,19.985,19.9995,4.67965,2019-09-14,2019-09-14 01:08:02,-67.32985,-69.886425
1.00189,0.0385679,5.04569,5.40682,18.723,19.7844,4.99954,2019-09-14,2019-09-14 14:57:31,-57.507425,-78.27832500000001
10.5453,0.00459549,5.05656,9.24959,5.21303,19.9343,4.99664,2019-09-14,2019-09-14 06:03:54,63.666875000000005,107.0345
2.67189,4.45246,5.39769,28.5997,8.17243,3.3556,2.35028,2019-09-14,2019-09-14 09:46:26,18.042275,103.16925
1.36769,9.75474,5.04386,4.42132,10.8213,18.7235,4.8676,2019-09-14,2019-09-14 10:12:02,85.809675,-92.69069999999999
1.28624,0.180934,5.2186,18.8095,6.43119,18.1664,4.90718,2019-09-14,2019-09-14 10:24:02,50.449124999999995,-78.837525
1.00188,0.0492859,5.06502,18.9308,5.00182,19.9718,4.97945,2019-09-14,2019-09-14 02:12:02,81.3965,114.11575
5.2439,0.0286424,9.33019,14.3837,6.97116,14.0565,4.98587,2019-09-14,2019-09-14 01:15:30,-88.77185,50.81205
1.3126,1.08953,5.14712,15.9204,6.56804,19.971,4.99129,2019-09-14,2019-09-14 01:02:50,-51.259025,-71.05942499999999
6.7712,5.54484,5.24492,9.96969,5.38362,19.8018,2.28397,2019-09-14,2019-09-14 01:36:42,-24.20535,106.81975
1.04338,0.0317241,5.22443,18.834,5.05809,19.9933,4.81507,2019-09-14,2019-09-14 20:15:31,59.969825,-84.931775
6.45833,15.3373,8.38881,0.180084,6.23676,18.3982,0.000516506,2019-09-14,2019-09-14 17:28:43,-22.70825,98.10274999999999
5.0,1.0,9.0,20.5,14.0,5.0,0.5,2021-04-22,2021-04-22 20:10:29,-81.712275,116.57175000000001
1.23105,1.37241,5.01383,17.0745,5.33225,19.9883,4.98766,2019-09-14,2019-09-14 10:32:34,24.98295,-78.10400000000001
1.02391,2.95078,5.00122,15.4553,5.61063,19.9837,4.97447,2019-09-14,2019-09-14 10:19:38,63.49435,-79.66227500000001
1.03873,2.76517,5.05793,16.1864,5.02159,19.957,4.97321,2019-09-14,2019-09-14 06:49:54,-21.15435,-75.14070000000001
1.19399,15.716,5.18433,1.62162,7.94635,19.9497,3.38797,2019-09-14,2019-09-14 10:32:58,23.783025000000002,-78.079975
2.12942,2.41577,5.64895,15.08,5.03665,19.8073,4.88196,2019-09-14,2019-09-14 01:17:54,-81.99142499999999,99.895725
1.1895,0.0222133,5.16074,18.6592,5.16174,19.8155,4.99111,2019-09-14,2019-09-14 08:14:10,82.7311,-84.88537500000001
4.45349,4.70942,5.31028,12.8678,5.39813,17.4101,4.85075,2019-09-14,2019-09-14 01:11:38,-78.45552500000001,-67.2454
1.88695,5.41404,5.79607,11.61,8.82641,16.6711,4.79548,2019-09-14,2019-09-14 01:47:38,8.903475,107.36375000000001
11.6487,0.00988578,5.01331,8.76319,5.96684,19.5063,4.0917,2019-09-14,2019-09-14 01:16:50,-85.239825,94.53614999999999
1.03653,0.00666967,5.04786,12.5753,11.4742,19.8792,4.98027,2019-09-14,2019-09-14 19:46:19,33.643024999999994,98.07545
1.19839,0.00295922,5.02036,19.2791,5.13755,19.3736,4.988,2019-09-14,2019-09-14 18:02:43,79.0341,104.155
1.10696,0.000412561,7.61889,15.5695,6.23996,19.4976,4.96674,2019-09-14,2019-09-14 01:08:10,-67.742175,-69.83535
5.18293,2.52238,15.1473,7.55075,5.44587,18.4492,0.701653,2019-09-14,2019-09-14 23:30:03,-8.997150000000001,95.06925
2.45208,1.3045,5.02738,15.8074,5.73238,19.9341,4.74214,2019-09-14,2019-09-14 20:37:55,-7.027225,-83.0085
1.2099,0.680357,5.01302,15.0036,8.38782,19.9813,4.724,2019-09-14,2019-09-14 06:16:42,78.4164,-80.529725
5.0,1.0,9.0,20.5,14.0,5.0,0.5,2019-09-14,2019-09-14 01:44:50,0.46747500000000003,107.23125
1.01171,0.00316718,5.10687,9.32207,14.6517,19.9144,4.9901,2019-09-14,2019-09-14 20:14:27,63.119975,-85.200925
2.67438,14.7159,7.80201,1.08415,10.134,18.1537,0.435848,2019-09-14,2019-09-14 03:32:18,-34.42920000000001,105.50825
1.03683,0.866901,5.0801,10.9883,12.2155,19.8202,4.99221,2019-09-14,2019-09-14 06:50:58,-24.419475000000002,-75.078275
15.1521,0.109951,5.78678,10.9993,6.76117,11.2863,4.90431,2019-09-14,2019-09-14 21:48:59,44.737925,97.335275
1.06857,0.00461771,5.02081,19.2178,5.08951,19.6108,4.98788,2019-09-14,2019-09-14 13:10:26,-85.51417500000001,86.65905
1.7193,0.0116434,7.95028,16.082,5.14651,19.3104,4.77988,2019-09-14,2019-09-14 10:20:18,61.521150000000006,-79.4923
1.00571,0.0236453,5.02093,20.9232,7.81809,18.9688,1.23959,2019-09-14,2019-09-14 10:33:54,20.980975,-78.02619999999999
1.20354,0.0261177,5.01786,4.12504,19.9941,19.7353,4.89802,2019-09-14,2019-09-14 01:14:34,-87.34252500000001,-47.952325
1.05894,0.0322189,5.00226,3.98347,19.9337,19.9944,4.99503,2019-09-14,2019-09-14 22:30:43,11.559175,-84.42387500000001
5.0,1.0,9.0,20.5,14.0,5.0,0.5,2021-04-22,2021-04-22 20:17:25,-76.922325,-73.361525
